epoch,accuracy,loss,val_accuracy,val_loss
0,0.9121875166893005,0.31644514203071594,0.9549999833106995,0.1600833386182785
1,0.9638749957084656,0.12695671617984772,0.9668333530426025,0.11234869062900543
2,0.9744791388511658,0.08811625093221664,0.9703333377838135,0.09998232871294022
3,0.9792291522026062,0.07043100148439407,0.9785000085830688,0.07756944000720978
4,0.9829166531562805,0.05915296822786331,0.9787499904632568,0.07377634197473526
5,0.9858333468437195,0.050173401832580566,0.9786666631698608,0.07031359523534775
6,0.9872291684150696,0.0445653535425663,0.9806666374206543,0.06644534319639206
7,0.9886458516120911,0.03976786509156227,0.9804999828338623,0.06522402167320251
8,0.9896875023841858,0.03500904515385628,0.9790833592414856,0.06943133473396301
9,0.9906458258628845,0.03207102045416832,0.981249988079071,0.06527001410722733
10,0.9916666746139526,0.02784627489745617,0.9809166789054871,0.06708037853240967
